
1. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 8
6 : 3 4 7 8
7 : 3 5 6 8
8 : 4 5 6 7

2. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 8
6 : 2 5 7 8
7 : 3 5 6 8
8 : 4 5 6 7

3. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 8
6 : 2 4 7 8
7 : 3 5 6 8
8 : 4 5 6 7

4. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 6 8
6 : 2 5 7 8
7 : 3 4 6 8
8 : 4 5 6 7

5. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 7 8
4 : 1 2 7 8
5 : 1 6 7 8
6 : 2 5 7 8
7 : 3 4 5 6
8 : 3 4 5 6

6. Graph gelesen

1 : 2 3 4 5
2 : 1 6 7 8
3 : 1 6 7 8
4 : 1 6 7 8
5 : 1 6 7 8
6 : 2 3 4 5
7 : 2 3 4 5
8 : 2 3 4 5
