
1. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 7
4 : 1 2 3 8 9 10
5 : 1 2 3 8 9 10
6 : 1 2 3 8 9 10
7 : 1 2 3 8 9 10
8 : 4 5 6 7 9 10
9 : 4 5 6 7 8 10
10 : 4 5 6 7 8 9

2. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 7 9 10
5 : 1 2 3 8 9 10
6 : 1 2 3 8 9 10
7 : 1 2 4 8 9 10
8 : 3 5 6 7 9 10
9 : 4 5 6 7 8 10
10 : 4 5 6 7 8 9

3. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 10
6 : 1 2 7 8 9 10
7 : 1 2 6 8 9 10
8 : 3 4 6 7 9 10
9 : 3 5 6 7 8 10
10 : 4 5 6 7 8 9

4. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 9 10
6 : 1 2 4 8 9 10
7 : 1 2 5 8 9 10
8 : 3 4 6 7 9 10
9 : 3 5 6 7 8 10
10 : 4 5 6 7 8 9

5. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 9 10
6 : 1 2 7 8 9 10
7 : 1 2 6 8 9 10
8 : 3 4 5 6 7 10
9 : 3 4 5 6 7 10
10 : 4 5 6 7 8 9

6. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 8 10
5 : 1 2 3 7 9 10
6 : 1 2 3 8 9 10
7 : 1 4 5 8 9 10
8 : 2 4 6 7 9 10
9 : 3 5 6 7 8 10
10 : 4 5 6 7 8 9

7. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 10
6 : 1 2 7 8 9 10
7 : 1 3 6 8 9 10
8 : 2 4 6 7 9 10
9 : 3 5 6 7 8 10
10 : 4 5 6 7 8 9

8. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 9 10
6 : 1 2 4 8 9 10
7 : 1 3 5 8 9 10
8 : 2 4 6 7 9 10
9 : 3 5 6 7 8 10
10 : 4 5 6 7 8 9

9. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 8 9 10
6 : 1 2 4 7 9 10
7 : 1 3 6 8 9 10
8 : 2 4 5 7 9 10
9 : 3 5 6 7 8 10
10 : 4 5 6 7 8 9

10. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 9 10
5 : 1 2 3 7 8 10
6 : 1 2 4 8 9 10
7 : 1 3 5 8 9 10
8 : 2 5 6 7 9 10
9 : 3 4 6 7 8 10
10 : 4 5 6 7 8 9

11. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 9 10
5 : 1 2 3 8 9 10
6 : 1 2 4 7 8 10
7 : 1 3 6 8 9 10
8 : 2 5 6 7 9 10
9 : 3 4 5 7 8 10
10 : 4 5 6 7 8 9

12. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 9 10
6 : 1 2 7 8 9 10
7 : 1 3 6 8 9 10
8 : 2 4 5 6 7 10
9 : 3 4 5 6 7 10
10 : 4 5 6 7 8 9

13. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 9 10
4 : 1 2 3 6 9 10
5 : 1 2 3 7 8 9
6 : 1 2 4 7 8 10
7 : 1 5 6 8 9 10
8 : 2 5 6 7 9 10
9 : 3 4 5 7 8 10
10 : 3 4 6 7 8 9

14. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 9 10
4 : 1 2 3 7 8 9
5 : 1 2 3 7 8 10
6 : 1 2 7 8 9 10
7 : 1 4 5 6 9 10
8 : 2 4 5 6 9 10
9 : 3 4 6 7 8 10
10 : 3 5 6 7 8 9

15. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 9 10
4 : 1 2 3 7 8 9
5 : 1 2 3 7 9 10
6 : 1 2 7 8 9 10
7 : 1 4 5 6 8 10
8 : 2 4 6 7 9 10
9 : 3 4 5 6 8 10
10 : 3 5 6 7 8 9

16. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 7 9 10
4 : 1 2 3 8 9 10
5 : 1 2 6 7 9 10
6 : 1 2 5 8 9 10
7 : 1 3 5 8 9 10
8 : 2 4 6 7 9 10
9 : 3 4 5 6 7 8
10 : 3 4 5 6 7 8

17. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 7 9 10
4 : 1 2 3 8 9 10
5 : 1 2 7 8 9 10
6 : 1 2 7 8 9 10
7 : 1 3 5 6 9 10
8 : 2 4 5 6 9 10
9 : 3 4 5 6 7 8
10 : 3 4 5 6 7 8

18. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 7 8 9 10
4 : 1 2 7 8 9 10
5 : 1 2 7 8 9 10
6 : 1 2 7 8 9 10
7 : 1 3 4 5 6 9
8 : 2 3 4 5 6 10
9 : 3 4 5 6 7 10
10 : 3 4 5 6 8 9

19. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 8 9
3 : 1 2 4 6 8 10
4 : 1 2 3 7 9 10
5 : 1 2 6 7 8 9
6 : 1 3 5 7 8 10
7 : 1 4 5 6 9 10
8 : 2 3 5 6 9 10
9 : 2 4 5 7 8 10
10 : 3 4 6 7 8 9

20. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 8 9
3 : 1 2 4 6 8 10
4 : 1 2 3 7 9 10
5 : 1 2 6 7 8 9
6 : 1 3 5 7 9 10
7 : 1 4 5 6 8 10
8 : 2 3 5 7 9 10
9 : 2 4 5 6 8 10
10 : 3 4 6 7 8 9

21. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 8 9
3 : 1 2 4 6 8 10
4 : 1 2 3 7 9 10
5 : 1 2 6 7 8 10
6 : 1 3 5 7 9 10
7 : 1 4 5 6 8 9
8 : 2 3 5 7 9 10
9 : 2 4 6 7 8 10
10 : 3 4 5 6 8 9
