
1. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 5 6
5 : 1 2 3 4 7
6 : 1 2 3 4 8
7 : 5 9 10 11 12
8 : 6 9 10 11 12
9 : 7 8 10 11 12
10 : 7 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

2. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 5 7
5 : 1 2 3 4 7
6 : 1 2 3 8 9
7 : 4 5 10 11 12
8 : 6 9 10 11 12
9 : 6 8 10 11 12
10 : 7 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

3. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 5 7
5 : 1 2 3 4 8
6 : 1 2 3 7 9
7 : 4 6 10 11 12
8 : 5 9 10 11 12
9 : 6 8 10 11 12
10 : 7 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

4. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 5 7
5 : 1 2 3 4 8
6 : 1 2 3 9 10
7 : 4 8 9 11 12
8 : 5 7 10 11 12
9 : 6 7 10 11 12
10 : 6 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

5. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 5 7
5 : 1 2 3 4 8
6 : 1 2 3 9 10
7 : 4 9 10 11 12
8 : 5 9 10 11 12
9 : 6 7 8 11 12
10 : 6 7 8 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

6. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 8
6 : 1 2 3 9 10
7 : 4 5 9 11 12
8 : 4 5 10 11 12
9 : 6 7 10 11 12
10 : 6 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

7. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 7 10
7 : 4 5 6 11 12
8 : 4 9 10 11 12
9 : 5 8 10 11 12
10 : 6 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

8. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 8 9
7 : 4 5 10 11 12
8 : 4 6 10 11 12
9 : 5 6 10 11 12
10 : 7 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

9. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 8 10
7 : 4 5 9 11 12
8 : 4 6 10 11 12
9 : 5 7 10 11 12
10 : 6 8 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

10. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 8 10
7 : 4 5 10 11 12
8 : 4 6 9 11 12
9 : 5 8 10 11 12
10 : 6 7 9 11 12
11 : 7 8 9 10 12
12 : 7 8 9 10 11

11. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 10 11
7 : 4 5 8 9 12
8 : 4 7 10 11 12
9 : 5 7 10 11 12
10 : 6 8 9 11 12
11 : 6 8 9 10 12
12 : 7 8 9 10 11

12. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 10 11
7 : 4 5 8 10 12
8 : 4 7 9 11 12
9 : 5 8 10 11 12
10 : 6 7 9 11 12
11 : 6 8 9 10 12
12 : 7 8 9 10 11

13. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 7 9
6 : 1 2 3 10 11
7 : 4 5 10 11 12
8 : 4 9 10 11 12
9 : 5 8 10 11 12
10 : 6 7 8 9 12
11 : 6 7 8 9 12
12 : 7 8 9 10 11

14. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 9 10
6 : 1 2 3 11 12
7 : 4 8 9 10 11
8 : 4 7 9 10 12
9 : 5 7 8 11 12
10 : 5 7 8 11 12
11 : 6 7 9 10 12
12 : 6 8 9 10 11

15. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 6
4 : 1 2 3 7 8
5 : 1 2 3 9 10
6 : 1 2 3 11 12
7 : 4 8 9 10 11
8 : 4 7 9 11 12
9 : 5 7 8 10 12
10 : 5 7 9 11 12
11 : 6 7 8 10 12
12 : 6 8 9 10 11

16. Graph gelesen

1 : 2 3 4 5 6
